









Frequency of observations in the selected location(s).:
Number of taxa: 	725

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Canada Goose	0.3087186	0.3097397	0.302562	0.2931736	0.2692908	0.2304935	0.2212816	0.3753326	0.4281182	0.5000614	0.5155523	0.4937513	0.4770742	0.4783111	0.4651186	0.4652122	0.4255627	0.3919898	0.3756685	0.3305737	0.2641309	0.1959398	0.1624342	0.1445596	0.1450438	0.1743181	0.196118	0.2433867	0.2497579	0.2509884	0.251183	0.2543489	0.2705097	0.285269	0.3477363	0.3753259	0.3947758	0.3961184	0.3845802	0.3827977	0.3621085	0.3570634	0.3608799	0.3642122	0.3559192	0.3290254	0.3084191	0.309292	
Swan Goose x Canada Goose (hybrid)	2.66E-5	0.0	0.0	5.5E-5	4.0E-5	2.024E-4	4.14E-5	3.55E-5	0.0	3.07E-5	2.97E-5	2.1E-5	2.65E-5	0.0015	0.0	0.0	1.66E-5	0.0	0.0	3.63E-5	9.38E-5	3.23E-5	0.0	0.0	0.0	0.0	0.0	3.1E-5	0.0	0.0	0.0	2.99E-5	0.0	7.7E-5	3.69E-5	3.07E-5	3.79E-5	3.39E-5	1.526E-4	2.83E-5	1.206E-4	0.0	0.0	0.0	5.91E-5	5.93E-5	4.95E-5	0.0	
Greater White-fronted x Canada Goose (hybrid)	2.66E-5	0.0	0.0	2.75E-5	1.201E-4	2.89E-5	0.0	3.55E-5	3.45E-5	1.535E-4	4.744E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	2.83E-5	0.0	0.0	0.0	0.0	1.181E-4	0.0	0.0	0.0	
Graylag x Canada Goose (hybrid)	2.66E-5	0.0	1.044E-4	5.5E-5	0.0	8.67E-5	6.21E-5	3.55E-5	2.069E-4	0.0	2.97E-5	2.1E-5	1.059E-4	4.92E-5	2.48E-5	3.57E-5	3.32E-5	4.92E-5	9.06E-5	3.63E-5	3.13E-5	0.0	7.27E-5	0.0	3.89E-5	0.0	4.48E-5	0.0	9.22E-5	4.65E-5	4.38E-5	0.0	3.84E-5	7.7E-5	7.37E-5	3.07E-5	7.58E-5	6.77E-5	0.0	2.83E-5	0.0015	1.335E-4	5.51E-5	8.62E-5	1.772E-4	5.93E-5	4.95E-5	3.49E-5	
Domestic goose sp. x Canada Goose (hybrid)	1.331E-4	2.077E-4	1.044E-4	5.5E-5	1.201E-4	1.156E-4	2.07E-5	3.55E-5	1.379E-4	9.21E-5	1.779E-4	1.052E-4	1.853E-4	1.475E-4	1.733E-4	1.607E-4	9.97E-5	1.147E-4	9.06E-5	3.63E-5	6.26E-5	1.614E-4	1.09E-4	9.12E-5	3.89E-5	0.0	0.0	1.242E-4	0.0	4.65E-5	4.38E-5	5.99E-5	3.84E-5	7.7E-5	2.581E-4	1.534E-4	2.654E-4	1.355E-4	3.81E-5	1.979E-4	2.412E-4	4.45E-5	0.0	4.31E-5	2.363E-4	1.779E-4	1.484E-4	1.047E-4	
Snow x Canada Goose (hybrid)	1.331E-4	6.92E-5	1.044E-4	1.924E-4	8.01E-5	2.89E-5	1.242E-4	1.419E-4	5.517E-4	3.991E-4	2.669E-4	2.1E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.58E-5	2.71E-4	1.907E-4	2.544E-4	2.815E-4	2.67E-4	1.654E-4	8.62E-5	5.91E-5	1.779E-4	4.95E-5	1.396E-4	
Barnacle x Canada Goose (hybrid)	0.0	0.0	3.48E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.91E-5	0.0	0.0	0.0	
Cackling/Canada Goose	0.0010652	0.0010383	8.354E-4	7.695E-4	7.208E-4	8.095E-4	7.244E-4	7.451E-4	0.0014138	0.0019036	9.785E-4	4.629E-4	7.94E-5	4.92E-5	0.0	0.0	0.0	0.0	1.81E-5	1.82E-5	0.0	3.23E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99E-5	0.0	0.0	1.106E-4	1.534E-4	6.066E-4	3.726E-4	9.156E-4	0.0011871	0.0012062	7.119E-4	0.0010475	0.0010341	0.0012405	0.0010078	5.441E-4	8.374E-4	
Branta sp.	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.66E-5	0.0	0.0	0.0015	0.0	0.0	0.0	3.04E-5	0.0	0.0	0.0	0.0	0.0	4.65E-5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.81E-5	5.65E-5	0.0	0.0	0.0	0.0	0.0	1.186E-4	0.0	0.0	
goose sp.	5.859E-4	4.846E-4	3.829E-4	8.519E-4	7.608E-4	5.493E-4	6.416E-4	0.0012419	0.0023794	0.002272	9.489E-4	4.839E-4	6.618E-4	4.18E-4	3.961E-4	4.82E-4	5.315E-4	2.95E-4	3.263E-4	5.447E-4	2.815E-4	1.614E-4	1.817E-4	3.344E-4	3.895E-4	1.686E-4	8.97E-5	6.21E-5	3.227E-4	4.65E-5	1.753E-4	4.791E-4	4.602E-4	4.233E-4	3.687E-4	4.601E-4	6.824E-4	7.113E-4	0.0014115	0.0013567	9.248E-4	7.564E-4	0.0011026	0.0017666	0.0014768	8.3E-4	6.925E-4	4.885E-4	
