









Frequency of observations in the selected location(s).:
Number of taxa: 	452

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Northern Shoveler	0.0350877	0.0175439	0.0224719	0.0295082	0.01	0.0223214	0.0188679	0.0294118	0.052381	0.0363636	0.0331126	0.0735695	0.0919881	0.0440771	0.042623	0.0212202	0.0138504	0.0051414	0.0057361	0.0065789	0.0089485	0.0	0.0015	0.0015	0.0	0.0015	0.0042017	0.0	0.003876	0.0163265	0.0015	0.0328542	0.0243902	0.0171821	0.0337423	0.0273556	0.0431655	0.015015	0.0454545	0.0464548	0.0440771	0.0357143	0.0076336	0.025463	0.0177305	0.0300429	0.0352423	0.0483384	
Gadwall	0.0394737	0.0526316	0.0280899	0.0393443	0.035	0.0357143	0.0150943	0.0343137	0.0428571	0.0327273	0.0066225	0.0245232	0.0356083	0.0110193	0.042623	0.0212202	0.0304709	0.0179949	0.0286807	0.0153509	0.0223714	0.0191781	0.0132275	0.0079051	0.0	0.0173611	0.012605	0.006993	0.0155039	0.0122449	0.0071685	0.0225873	0.0170732	0.0137457	0.0214724	0.006079	0.0503597	0.018018	0.030303	0.0317848	0.0578512	0.0637755	0.0381679	0.0300926	0.0212766	0.0171674	0.0176211	0.0271903	
Eurasian Wigeon	0.0015	0.0015	0.0015	0.0	0.005	0.0	0.0015	0.0	0.0015	0.0036364	0.0033113	0.0027248	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0034364	0.0015	0.0	0.0015	0.0015	0.0037879	0.00489	0.0082645	0.0015	0.0015	0.0015	0.0	0.0	0.0	0.0015	
American Wigeon	0.0394737	0.0614035	0.0674157	0.0721311	0.025	0.0446429	0.0339623	0.0637255	0.0714286	0.0581818	0.0364238	0.0572207	0.1008902	0.0523416	0.0393443	0.0397878	0.0015	0.0015	0.001912	0.0015	0.0022371	0.0027397	0.0026455	0.0	0.003268	0.0	0.0042017	0.0034965	0.0	0.0	0.0071685	0.0143737	0.0146341	0.0171821	0.0306748	0.0303951	0.057554	0.027027	0.0719697	0.0806846	0.077135	0.0663265	0.0305344	0.0393519	0.0531915	0.055794	0.0572687	0.060423	
Mallard	0.2017544	0.2587719	0.1516854	0.1704918	0.19	0.1919643	0.1622642	0.1960784	0.3380952	0.2072727	0.2582781	0.280654	0.3323442	0.2424242	0.2852459	0.3156499	0.2631579	0.2390746	0.208413	0.245614	0.1565996	0.1780822	0.1534392	0.1363636	0.130719	0.1701389	0.1806723	0.1643357	0.1744186	0.1795918	0.1612903	0.2279261	0.2121951	0.2302405	0.297546	0.2917933	0.3057554	0.2072072	0.3863636	0.3178484	0.2837466	0.3163265	0.2633588	0.275463	0.248227	0.2403433	0.2995595	0.2628399	
American Black Duck	0.1403509	0.1666667	0.0955056	0.1278689	0.13	0.0892857	0.0981132	0.1127451	0.2142857	0.1454545	0.1456954	0.1553134	0.1691395	0.0909091	0.0622951	0.0477454	0.0360111	0.0359897	0.0325048	0.0350877	0.0268456	0.0273973	0.0238095	0.0256917	0.0326797	0.0277778	0.0420168	0.013986	0.0310078	0.0367347	0.0071685	0.0472279	0.0292683	0.0412371	0.0337423	0.0638298	0.0971223	0.0780781	0.125	0.1442543	0.1267218	0.1454082	0.129771	0.1782407	0.1134752	0.1630901	0.1718062	0.141994	
Mallard x American Black Duck (hybrid)	0.0	0.0	0.005618	0.0	0.0	0.0	0.0037736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002445	0.0	0.002551	0.0038168	0.0	0.0	0.0	0.0	0.0	
Mallard/American Black Duck	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0037879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Pintail	0.004386	0.0263158	0.0168539	0.0196721	0.015	0.0178571	0.0037736	0.0098039	0.0142857	0.0145455	0.0264901	0.0245232	0.0148368	0.0015	0.0131148	0.005305	0.0015	0.0015	0.001912	0.0	0.0022371	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0102669	0.0097561	0.0015	0.0092025	0.0121581	0.028777	0.033033	0.030303	0.0293399	0.0358127	0.0204082	0.0152672	0.0138889	0.0141844	0.0042918	0.0220264	0.0271903	
Green-winged Teal	0.0350877	0.0087719	0.005618	0.0163934	0.03	0.0267857	0.0301887	0.0294118	0.0238095	0.0109091	0.0298013	0.0517711	0.0534125	0.0550964	0.0622951	0.0238727	0.0166205	0.0015	0.0038241	0.0	0.0	0.0	0.0015	0.0	0.0065359	0.0015	0.0042017	0.0	0.003876	0.0040816	0.0107527	0.0390144	0.0292683	0.0274914	0.0368098	0.0364742	0.0755396	0.048048	0.0606061	0.0709046	0.0716253	0.0408163	0.0152672	0.0231481	0.0319149	0.0042918	0.0088106	0.021148	
